title,console,genre,publisher,developer,critic_score,total_sales(mil),na_sales(mil),jp_sales(mil),pal_sales(mil),other_sales(mil),release_date,release_year,release_month,sales_sum
Disney Violetta: Rhythm & Music,3DS,Music,Disney Interactive Studios,Little Orbit,7.699999999999999,0.0,0.0,0.0,0.0,0.0,2014-09-26,2014.0,9.0,0.0
The Voice,Wii,Music,Activision,Zoe Mode,7.699999999999999,0.0,0.0,0.0,0.0,0.0,2014-10-21,2014.0,10.0,0.0
Knockout Party,Wii,Puzzle,Ubisoft,Ubisoft,7.3,0.0,0.0,0.0,0.0,0.0,2009-11-06,2009.0,11.0,0.0
Real Crimes: Jack the Ripper,PC,Puzzle,Virtual Playground,Virtual Playground,7.3,0.0,0.0,0.0,0.0,0.0,2010-01-01,2010.0,1.0,0.0
Simple DS Series Vol. 44: The Gal Mahjong,DS,Puzzle,D3 Publisher,"Affect Co., Ltd.",7.3,0.0,0.0,0.0,0.0,0.0,2008-09-25,2008.0,9.0,0.0
Super Bubble Pop,GBA,Puzzle,Jaleco,Runecraft,7.3,0.0,0.0,0.0,0.0,0.0,2003-01-03,2003.0,1.0,0.0
Crazy Machines 2,DS,Puzzle,DTP Entertainment,FAKT Software GmBH,7.3,0.0,0.0,0.0,0.0,0.0,2009-10-16,2009.0,10.0,0.0
7 Wonders II,PC,Puzzle,Mumbo Jumbo,Hot Lava Games,7.3,0.0,0.0,0.0,0.0,0.0,2007-08-14,2007.0,8.0,0.0
Jelly Belly: Ballistic Beans,DS,Puzzle,Zoo Digital Publishing,Blue Monkey Studios,7.3,0.0,0.0,0.0,0.0,0.0,2009-04-21,2009.0,4.0,0.0
Chronicles of Mystery: The Tree of Life,PC,Puzzle,City Interactive,City Interactive,7.3,0.0,0.0,0.0,0.0,0.0,2009-12-10,2009.0,12.0,0.0
Jewel Time Deluxe,PC,Puzzle,O-Games,O Games,7.3,0.0,0.0,0.0,0.0,0.0,2011-06-17,2011.0,6.0,0.0
Youda Farmer,DS,Puzzle,Foreign Media Games,Youda Games,7.3,0.0,0.0,0.0,0.0,0.0,2010-10-12,2010.0,10.0,0.0
Call of Atlantis,DS,Puzzle,Unknown,Foreign Media Games,7.3,0.0,0.0,0.0,0.0,0.0,2020-12-31,2020.0,12.0,0.0
Sekai Fushigi Hakken DS: Densetsu no Hitoshi-kun Ningyou o Sagase,DS,Puzzle,FuRyu Corporation,FuRyu Corporation,7.3,0.0,0.0,0.0,0.0,0.0,2009-08-06,2009.0,8.0,0.0
Slingo Quest,DS,Puzzle,Mumbo Jumbo,Mac Play,7.3,0.0,0.0,0.0,0.0,0.0,2008-12-12,2008.0,12.0,0.0
Tetris Ultimate,PSV,Puzzle,Ubisoft,Ubisoft Montreal,7.3,0.0,0.0,0.0,0.0,0.0,2015-06-04,2015.0,6.0,0.0
Mystic Legacy: The Great Ring,PC,Puzzle,Big Fish Games,Big Fish Games,7.3,0.0,0.0,0.0,0.0,0.0,2015-02-25,2015.0,2.0,0.0
Paint by DS,DS,Puzzle,Mercury Games,Ertain,7.3,0.0,0.0,0.0,0.0,0.0,2008-02-22,2008.0,2.0,0.0
Toki Tori 2+,PS4,Puzzle,Soedesco,Two Tribes,7.3,0.0,0.0,0.0,0.0,0.0,2016-06-07,2016.0,6.0,0.0
Luxor: The King's Collection,PC,Puzzle,Mumbo Jumbo,MumboJumbo,7.3,0.0,0.0,0.0,0.0,0.0,2008-05-06,2008.0,5.0,0.0
Mortimer Beckett and the Secrets of Spooky Manor,PC,Puzzle,Mumbo Jumbo,Paprikari,7.3,0.0,0.0,0.0,0.0,0.0,2008-02-19,2008.0,2.0,0.0
Artifacts of the Past Ancient Mysteries,PC,Puzzle,Big Fish Games,Big Fish Games,7.3,0.0,0.0,0.0,0.0,0.0,2015-05-08,2015.0,5.0,0.0
Puzzle Kingdoms,PC,Puzzle,Zoo Digital Publishing,Infinite Interactive,7.3,0.0,0.0,0.0,0.0,0.0,2009-04-16,2009.0,4.0,0.0
Grim Legends: The Forsaken Bride,PC,Puzzle,Avanquest Software,Artifex Mundi,7.3,0.0,0.0,0.0,0.0,0.0,2015-03-20,2015.0,3.0,0.0
The Hidden Mystery Collectives: Mystic Diary 1 & 2,PC,Puzzle,Unknown,Big Fish Games,7.3,0.0,0.0,0.0,0.0,0.0,2011-08-05,2011.0,8.0,0.0
Mystery P.I.: The Lottery Ticket,PC,Puzzle,PopCap Games,SpinTop Games,7.3,0.0,0.0,0.0,0.0,0.0,2007-07-18,2007.0,7.0,0.0
Jewel Link Double Pack: Atlantic Quest / Galactic Quest,DS,Puzzle,Avanquest Software,Avanquest Software,7.3,0.0,0.0,0.0,0.0,0.0,2014-05-30,2014.0,5.0,0.0
Reveries: Seelenfänger,PC,Puzzle,Rondomedia,ERS G-Studio,7.3,0.0,0.0,0.0,0.0,0.0,2015-10-07,2015.0,10.0,0.0
Margot's Bepuzzled!,DS,Puzzle,Zushi Games,puzzle.tv,7.3,0.0,0.0,0.0,0.0,0.0,2009-10-23,2009.0,10.0,0.0
Nightmares from the Deep: Davy Jones,PC,Puzzle,Viva Media,Artifex Mundi,7.3,0.0,0.0,0.0,0.0,0.0,2014-06-17,2014.0,6.0,0.0
Hidden Mysteries: Royal Family Secrets,PC,Puzzle,GameMill,GameMill Publishing,7.3,0.0,0.0,0.0,0.0,0.0,2011-08-09,2011.0,8.0,0.0
Aqua Panic!,Wii,Puzzle,Neko Entertainment,EKO System,7.3,0.0,0.0,0.0,0.0,0.0,2009-05-29,2009.0,5.0,0.0
Margot's Bepuzzled!,Wii,Puzzle,Zushi Games,puzzle.tv,7.3,0.0,0.0,0.0,0.0,0.0,2009-11-06,2009.0,11.0,0.0
Jewel Adventures,DS,Puzzle,Enjoy Gaming ltd.,7 Raven Studios Co. Ltd.,7.3,0.0,0.0,0.0,0.0,0.0,2013-09-05,2013.0,9.0,0.0
Nightfall Mysteries: Asylum Conspiracy,PC,Puzzle,eGames,Vast Studios,7.3,0.0,0.0,0.0,0.0,0.0,2011-12-31,2011.0,12.0,0.0
Buzz! Brain Bender,PSP,Puzzle,Sony Computer Entertainment,Relentless Software,6.5,0.0,0.0,0.0,0.0,0.0,2008-11-28,2008.0,11.0,0.0
Doctor Fizzwizzle's Animal Rescue,Wii,Puzzle,Conspiracy Entertainment,Replay Games,7.3,0.0,0.0,0.0,0.0,0.0,2009-10-27,2009.0,10.0,0.0
Bluebeard's Castle,PC,Puzzle,Big Fish Games,Big Fish Games,7.3,0.0,0.0,0.0,0.0,0.0,2015-02-25,2015.0,2.0,0.0
Bookworm Adventures Deluxe,PC,Puzzle,PopCap Games,PopCap,7.3,0.0,0.0,0.0,0.0,0.0,2006-12-14,2006.0,12.0,0.0
Final Cut: Death on the Silver Screen,PC,Puzzle,Big Fish Games,Big Fish Games,7.3,0.0,0.0,0.0,0.0,0.0,2014-11-28,2014.0,11.0,0.0
Ben 10 Omniverse,DS,Action,D3Publisher,D3 Publisher,6.8,0.0,0.0,0.0,0.0,0.0,2012-11-03,2012.0,11.0,0.0
Zero Time Dilemma,PSV,Action,Spike Chunsoft,Unknown,6.8,0.0,0.0,0.0,0.0,0.0,2016-06-30,2016.0,6.0,0.0
Jewel Quest Mysteries 2: Trail of the Midnight Heart,PC,Puzzle,iWin,Licensed 4U,7.3,0.0,0.0,0.0,0.0,0.0,2010-01-12,2010.0,1.0,0.0
Boulder Dash EX,GBA,Puzzle,Kemco,Vision Works,7.7,0.0,0.0,0.0,0.0,0.0,2002-09-16,2002.0,9.0,0.0
Magic Ball 4,PC,Puzzle,PlayV,Dream Dale,7.3,0.0,0.0,0.0,0.0,0.0,2011-09-02,2011.0,9.0,0.0
Challenge Me: Brain Puzzles 2,PC,Puzzle,O-Games,O Games,7.3,0.0,0.0,0.0,0.0,0.0,2010-10-26,2010.0,10.0,0.0
Angry Birds: Star Wars,PC,Puzzle,Rovio Mobile,Exient Entertainment,7.3,0.0,0.0,0.0,0.0,0.0,2012-11-08,2012.0,11.0,0.0
Lara Gates: The Lost Talisman,PC,Puzzle,Big Fish Games,Big Fish Games,7.3,0.0,0.0,0.0,0.0,0.0,2014-11-19,2014.0,11.0,0.0
